Unnamed: 0,tweets,tweets_tokenize,tweet_strings,lemm_tweets,neg,neu,pos,compound,sentiment,topic
0,guess the autograph can you guess the footballer who this shirt hint he ancestry and won the world cup,"['guess', 'autograph', 'guess', 'footballer', 'shirt', 'hint', 'ancestry', 'world', 'cup']",guess autograph guess footballer shirt hint ancestry world cup,guess autograph guess footballer shirt hint ancestry world cup,0.0,1.0,0.0,0.0,neutral,2
1,are you nadir,['nadir'],nadir,nadir,0.0,1.0,0.0,0.0,neutral,5
2,holy grail of world cup worldcup memorabilia ticket,"['holy', 'grail', 'world', 'cup', 'worldcup', 'memorabilia', 'ticket']",holy grail world cup worldcup memorabilia ticket,holy grail world cup worldcup memorabilia ticket,0.0,1.0,0.0,0.0,neutral,6
3,they define and talent football era worldcup,"['define', 'talent', 'football', 'era', 'worldcup']",define talent football era worldcup,define talent football era worldcup,0.0,0.588,0.412,0.4215,positive,0
4,this is for you like when you compare with and i wish you will continue it because is and will be breaking of worldcup,"['like', 'compare', 'wish', 'continue', 'breaking', 'worldcup']",like compare wish continue breaking worldcup,like compare wish continue breaking worldcup,0.0,0.435,0.565,0.6369,positive,4
5,back to back blockbuster worldcupwhat a cant better,"['back', 'back', 'blockbuster', 'worldcupwhat', 'cant', 'better']",back back blockbuster worldcupwhat cant better,back back blockbuster worldcupwhat cant better,0.233,0.388,0.378,0.3599,positive,1
6,happy birthday the mother of la we all u god bless you,"['happy', 'birthday', 'mother', 'la', 'u', 'god', 'bless']",happy birthday mother god bless,happy birthday mother god bless,0.0,0.189,0.811,0.8225,positive,3
7,still affected by the world cup morocco football worldcup,"['still', 'affected', 'world', 'cup', 'morocco', 'football', 'worldcup']",still affected world cup morocco football worldcup,still affected world cup morocco football worldcup,0.211,0.789,0.0,-0.1531,negative,6
8,we will never forget how cantor stunning passion and love for our beloved team of morocco i get goose every time i watch this video,"['never', 'forget', 'cantor', 'stunning', 'passion', 'love', 'beloved', 'team', 'morocco', 'get', 'goose', 'every', 'time', 'watch', 'video']",never forget cantor stunning passion love beloved team morocco get goose every time watch video,never forget cantor stunning passion love beloved team morocco get goose every time watch video,0.09,0.411,0.5,0.8745,positive,6
9,nicocantor pour ce moment un grand souvenir,"['nicocantor', 'pour', 'ce', 'moment', 'un', 'grand', 'souvenir']",nicocantor pour moment grand souvenir,nicocantor pour moment grand souvenir,0.0,0.571,0.429,0.4588,positive,4
10,in walsh s tenure,"['walsh', 'tenure']",walsh tenure,walsh tenure,0.0,1.0,0.0,0.0,neutral,5
11,a historic performance some historic appreciation worldcup via,"['historic', 'performance', 'historic', 'appreciation', 'worldcup', 'via']",historic performance historic appreciation worldcup via,historic performance historic appreciation worldcup via,0.0,0.602,0.398,0.5106,positive,3
12,catch your cheating spouse cheat betrayal unfaithful worldcup daysofcode investigating cheating there any hacking on your,"['catch', 'cheating', 'spouse', 'cheat', 'betrayal', 'unfaithful', 'worldcup', 'daysofcode', 'investigating', 'cheating', 'hacking']",catch cheating spouse cheat betrayal unfaithful worldcup daysofcode investigating cheating hacking,catch cheating spouse cheat betrayal unfaithful worldcup daysofcode investigating cheating hacking,0.667,0.333,0.0,-0.9325,negative,2
13,favorite moment in world cup  worldcup,"['favorite', 'moment', 'world', 'cup', 'worldcup']",favorite moment world cup worldcup,favorite moment world cup worldcup,0.0,0.571,0.429,0.4588,positive,6
14,stream to b for worldcup qatar,"['stream', 'b', 'worldcup', 'qatar']",stream worldcup qatar,stream worldcup qatar,0.0,1.0,0.0,0.0,neutral,6
15,today s running ud kit   lamb of god in the,"['today', 'running', 'ud', 'kit', 'lamb', 'god']",today running kit lamb god,today running kit lamb god,0.0,0.656,0.344,0.2732,positive,2
16,will be at the education city stadium for the first time ever,"['education', 'city', 'stadium', 'first', 'time', 'ever']",education city stadium first time ever,education city stadium first time ever,0.0,1.0,0.0,0.0,neutral,1
17,for the first time ever,"['first', 'time', 'ever']",first time ever,first time ever,0.0,1.0,0.0,0.0,neutral,1
18,afghani bowler took s wicket,"['afghani', 'bowler', 'took', 'wicket']",afghani bowler took wicket,afghani bowler took wicket,0.0,1.0,0.0,0.0,neutral,2
19,defensive transition report world cup       al collected by football worldcup,"['defensive', 'transition', 'report', 'world', 'cup', 'al', 'collected', 'football', 'worldcup']",defensive transition report world cup collected football worldcup,defensive transition report world cup collected football worldcup,0.0,0.864,0.136,0.0258,positive,6
20,cause alpine sports football project i expect pe project good movement football to be possible meta even if the worldcup is over daily just breaking out ud,"['cause', 'alpine', 'sports', 'football', 'project', 'expect', 'pe', 'project', 'good', 'movement', 'football', 'possible', 'meta', 'even', 'worldcup', 'daily', 'breaking', 'ud']",cause alpine sports football project expect project good movement football possible meta even worldcup daily breaking,cause alpine sport football project expect project good movement football possible meta even worldcup daily breaking,0.0,0.838,0.162,0.4404,positive,6
21,the to  worldcup,['worldcup'],worldcup,worldcup,0.0,1.0,0.0,0.0,neutral,6
22,gearing up fan token,"['gearing', 'fan', 'token']",gearing fan token,gearing fan token,0.0,0.465,0.535,0.3182,positive,2
23,to make a compilation of s in the world cup  apparently you can t make a compilation with  goal ruined my mood,"['make', 'compilation', 'world', 'cup', 'apparently', 'make', 'compilation', 'goal', 'ruined', 'mood']",make compilation world cup apparently make compilation goal ruined mood,make compilation world cup apparently make compilation goal ruined mood,0.256,0.744,0.0,-0.4767,negative,1
24,world cup  were unmatched,"['world', 'cup', 'unmatched']",world cup unmatched,world cup unmatched,0.394,0.606,0.0,-0.0772,negative,2
25,the media again for his impact with there are a tremendous amount of waiting for their k pop to bless the of,"['media', 'impact', 'tremendous', 'amount', 'waiting', 'k', 'pop', 'bless']",media impact tremendous amount waiting pop bless,medium impact tremendous amount waiting pop bless,0.0,0.682,0.318,0.4215,positive,5
26,nostalgic for world cup  kick off your visit to today with and,"['nostalgic', 'world', 'cup', 'kick', 'visit', 'today']",nostalgic world cup kick visit today,nostalgic world cup kick visit today,0.0,1.0,0.0,0.0,neutral,2
27,lionel in world cup  of the best world cup ever,"['lionel', 'world', 'cup', 'best', 'world', 'cup', 'ever']",lionel world cup best world cup ever,lionel world cup best world cup ever,0.0,0.588,0.412,0.6369,positive,2
28,most for in cup  most in t world cup  most for in  most for in  king been in some ridiculous touch since cup ,"['cup', 'world', 'cup', 'king', 'ridiculous', 'touch', 'since', 'cup']",cup world cup king ridiculous touch since cup,cup world cup king ridiculous touch since cup,0.263,0.737,0.0,-0.3612,negative,2
29,project file by morocco world cup  soccer football edit,"['project', 'file', 'morocco', 'world', 'cup', 'soccer', 'football', 'edit']",project file morocco world cup soccer football edit,project file morocco world cup soccer football edit,0.0,1.0,0.0,0.0,neutral,6
30,if the are to,[],,,0.0,0.0,0.0,0.0,neutral,0
31,media the wave finally in there are a tremendous amount of waiting for their k pop to bless the of,"['media', 'wave', 'finally', 'tremendous', 'amount', 'waiting', 'k', 'pop', 'bless']",media wave finally tremendous amount waiting pop bless,medium wave finally tremendous amount waiting pop bless,0.0,0.714,0.286,0.4215,positive,5
